PTAXID,COMPANYID,BRANCHID,CLIENTID,DATE,VAT,INCOMETAX,DELETESTATUS,CREATEDBY,CREATEDDATETIME,MODIFIEDBY,MODIFIEDDATETIME
1,1000,1,2,11/30/2017 0:00,0,0,FALSE,1,11:04.4,,
2,1000,1,2,12/31/2017 0:00,923,1946,FALSE,1,22:51.2,,
3,1000,1,4,12/31/2017 0:00,810,0,FALSE,1,28:26.8,1,05:21.4
4,1000,1,3,12/31/2017 0:00,0,303,FALSE,1,35:28.1,1,26:35.6
5,1000,1,21,12/31/2017 0:00,647,0,FALSE,1,55:35.6,,
6,1000,1,24,12/31/2017 0:00,0,0,FALSE,1,01:01.5,,
7,1000,1,29,12/31/2017 0:00,0,0,FALSE,1,09:23.8,,
8,1000,1,30,12/31/2017 0:00,0,0,FALSE,1,32:44.5,,
10,1000,1,23,12/31/2017 0:00,0,0,FALSE,1,56:34.5,,
11,1000,1,31,12/31/2017 0:00,0,0,FALSE,1,01:47.2,,
17,1000,1,1,12/31/2017 0:00,3930,0,FALSE,1,16:51.2,1,09:31.6
19,1000,1,21,1/31/2018 0:00,0,0,FALSE,1,24:11.0,,
20,1000,1,24,1/31/2018 0:00,261,42,FALSE,1,28:21.3,,
21,1000,1,29,1/31/2018 0:00,0,0,FALSE,1,39:51.6,,
22,1000,1,30,1/31/2018 0:00,0,0,FALSE,1,50:28.5,,
26,1000,1,43,1/31/2018 0:00,42,0,FALSE,1,38:13.4,1,17:39.2
27,1000,1,41,1/31/2018 0:00,0,0,FALSE,1,57:09.1,,
28,1000,1,3,1/31/2018 0:00,0,217,FALSE,1,29:30.4,1,25:03.3
31,1000,1,39,1/31/2018 0:00,0,0,FALSE,1,52:58.8,,
32,1000,1,7,1/31/2018 0:00,0,0,FALSE,1,32:06.6,,
34,1000,1,30,11/30/2017 0:00,0,0,FALSE,1,13:50.6,,
40,1000,1,2,2/28/2018 0:00,0,0,FALSE,1,10:39.4,,
41,1000,1,40,12/31/2017 0:00,0,0,FALSE,1,30:43.6,,
42,1000,1,40,2/28/2018 0:00,0,0,FALSE,1,31:19.7,,
43,1000,1,21,2/28/2018 0:00,0,0,FALSE,1,00:45.9,,
44,1000,1,29,2/28/2018 0:00,0,0,FALSE,1,54:21.1,,
